Ion;Wavelength;Unc.;Acc.
C I;422.2466;0.001;
C I;422.3159;0.001;
C I;422.3159;0.001;
C I;422.336;0.001;
C I;422.336;0.001;
C I;422.8326;0.0005;
C II;426.7003;0.0007;B+
C II;426.7258;0.0007;B+
C II;426.7258;0.0007;B+
C I;426.90197;0.00012;E
C II;428.5704;0.0017;C+
C II;428.988;0.004;
C II;428.988;0.004;C
C II;429.182;0.004;C+
C II;429.182;0.004;
C II;429.241;0.003;D+
C II;429.241;0.003;D+
C II;429.241;0.003;E
C II;429.592;0.0017;C
C II;430.633;0.004;B
C II;430.759;0.004;B
C II;431.31;0.0007;B
C II;431.726;0.0007;B
C II;431.86;0.0007;B+
C II;432.1647;0.0007;B
C II;432.3102;0.0007;B+
C III;432.556;0.01;B
C II;432.5827;0.0007;B
C II;432.6156;0.0007;B
C II;432.988;0.003;D+
C II;432.988;0.003;D+
C II;432.988;0.003;D+
C I;434.164;0.0005;
C I;434.2396;0.0005;
C I;434.4111;0.0005;
C I;434.4309;0.0005;
C I;434.8966;0.0005;
C I;435.5408;0.0005;
C II;436.8047;0.0017;C
C II;436.826;0.004;C+
C II;436.826;0.004;C
C II;436.9857;0.0007;C
C II;437.0661;0.0017;C
C I;437.13814;0.00003;B
C II;437.235;0.004;C+
C II;437.235;0.004;C+
C II;437.249;0.004;C+
C II;437.249;0.004;C+
C II;437.4272;0.0007;B
C II;437.5009;0.0007;C+
C II;437.6562;0.0017;B+
C II;440.9161;0.0007;
C II;440.9979;0.0007;B
C II;441.1163;0.0007;B+
C II;441.1506;0.0007;C+
C II;441.3255;0.0007;
C I;446.13;0.001;
C I;446.13;0.001;
C I;446.15;0.001;
C I;446.15;0.001;
C I;446.3886;0.001;
C I;446.3886;0.001;
C I;446.4448;0.0005;
C I;446.4677;0.001;
C I;446.4677;0.001;
C I;446.6476;0.001;
C I;446.6476;0.001;
C I;446.7309;0.0005;
C I;447.7472;0.001;
C I;447.7472;0.001;
C I;447.8319;0.0005;
